Student_ID,Name,Attendance(%),Assignments_Completed,Disciplinary_Record,Average_Score,Eligible_For_Exam
1059,Student_1059,64,6,0,76,0
1060,Student_1060,99,3,0,80,0
1061,Student_1061,53,6,0,75,0
1062,Student_1062,89,7,0,66,1
1063,Student_1063,97,0,0,93,0
1064,Student_1064,48,5,0,56,0
1065,Student_1065,65,7,0,48,0
1066,Student_1066,92,4,0,72,0
1067,Student_1067,41,3,0,92,0
1068,Student_1068,59,1,0,59,0
1069,Student_1069,67,5,1,52,0
1070,Student_1070,86,5,0,67,0
1071,Student_1071,99,0,0,87,0
1072,Student_1072,46,8,0,68,0
1073,Student_1073,83,5,0,52,0
1074,Student_1074,47,2,0,85,0
1075,Student_1075,86,3,0,74,0
1076,Student_1076,74,3,0,45,0
1077,Student_1077,53,2,0,57,0
1078,Student_1078,56,9,0,90,0
1079,Student_1079,75,2,0,44,0
1080,Student_1080,89,2,0,86,0
1081,Student_1081,79,3,0,64,0
1082,Student_1082,43,6,0,41,0
1083,Student_1083,41,3,0,49,0
1084,Student_1084,45,8,1,95,0
1085,Student_1085,93,0,0,69,0
1086,Student_1086,81,7,0,89,1
1087,Student_1087,43,6,0,98,0
1088,Student_1088,93,1,0,84,0
1089,Student_1089,68,7,0,44,0
1090,Student_1090,57,0,0,94,0
1091,Student_1091,65,8,1,95,0
1092,Student_1092,83,8,0,72,1
1093,Student_1093,73,1,0,93,0
1094,Student_1094,49,6,0,40,0
1095,Student_1095,75,9,0,57,1
1096,Student_1096,53,2,0,71,0
1097,Student_1097,70,6,1,86,0
1098,Student_1098,87,9,0,88,1
1099,Student_1099,54,8,1,50,0
1100,Student_1100,47,3,1,60,0
1101,Student_1101,53,0,0,65,0
1102,Student_1102,62,1,0,64,0
1103,Student_1103,99,0,0,61,0
1104,Student_1104,96,4,0,98,0
1105,Student_1105,79,4,0,66,0
1106,Student_1106,60,6,0,88,0
1107,Student_1107,55,8,0,52,0
1108,Student_1108,84,8,0,72,1
1109,Student_1109,57,2,0,73,0
1110,Student_1110,86,2,0,80,0
1111,Student_1111,92,2,0,74,0
1112,Student_1112,63,3,0,40,0
1113,Student_1113,65,7,0,60,0
1114,Student_1114,64,5,0,87,0
1115,Student_1115,99,7,0,94,1
1116,Student_1116,99,0,1,45,0
1117,Student_1117,99,7,0,67,1
1118,Student_1118,84,3,0,56,0
1119,Student_1119,80,0,0,44,0
1120,Student_1120,68,7,0,70,0
1121,Student_1121,54,3,0,44,0
1122,Student_1122,84,5,0,77,0
1123,Student_1123,40,7,1,42,0
1124,Student_1124,64,3,0,92,0
1125,Student_1125,46,2,0,62,0
1126,Student_1126,48,8,0,76,0
1127,Student_1127,63,2,0,92,0
1128,Student_1128,40,8,1,76,0
1129,Student_1129,83,1,1,49,0
1130,Student_1130,47,1,0,49,0
1131,Student_1131,63,1,0,58,0
1132,Student_1132,50,5,0,56,0
1133,Student_1133,90,2,0,60,0
1134,Student_1134,56,8,1,53,0
1135,Student_1135,47,3,0,48,0
1136,Student_1136,74,0,0,85,0
1137,Student_1137,74,3,0,40,0
1138,Student_1138,72,0,1,90,0
1139,Student_1139,98,4,0,84,0
1140,Student_1140,44,3,0,52,0
1141,Student_1141,81,7,1,43,0
1142,Student_1142,78,7,0,40,1
1143,Student_1143,97,6,0,88,1
1144,Student_1144,80,2,1,79,0
1145,Student_1145,67,0,1,71,0
1146,Student_1146,46,0,0,73,0
1147,Student_1147,48,2,0,67,0
1148,Student_1148,47,5,0,70,0
1149,Student_1149,51,6,0,47,0
1150,Student_1150,73,5,0,78,0
1151,Student_1151,72,5,0,65,0
1152,Student_1152,87,5,0,97,0
1153,Student_1153,94,2,0,73,0
1154,Student_1154,62,5,0,93,0
1155,Student_1155,63,7,0,93,0
1156,Student_1156,76,1,0,42,0
1157,Student_1157,74,4,0,98,0
1158,Student_1158,83,0,0,89,0
1159,Student_1159,79,0,0,51,0
1160,Student_1160,61,4,1,40,0
1161,Student_1161,66,2,0,93,0
1162,Student_1162,74,3,0,83,0
1163,Student_1163,40,2,0,44,0
1164,Student_1164,74,0,0,69,0
1165,Student_1165,76,0,0,69,0
1166,Student_1166,86,4,0,98,0
1167,Student_1167,53,5,0,96,0
1168,Student_1168,42,2,0,56,0
1169,Student_1169,40,8,0,87,0
1170,Student_1170,44,4,0,86,0
1171,Student_1171,65,7,0,62,0
1172,Student_1172,94,0,0,54,0
1173,Student_1173,53,4,0,76,0
1174,Student_1174,78,2,1,60,0
1175,Student_1175,66,0,0,53,0
1176,Student_1176,48,3,0,41,0
1177,Student_1177,54,4,0,50,0
1178,Student_1178,54,6,1,90,0
1179,Student_1179,65,0,1,78,0
1180,Student_1180,81,2,0,77,0
1181,Student_1181,99,1,0,99,0
1182,Student_1182,52,8,0,73,0
1183,Student_1183,90,9,0,77,1
1184,Student_1184,71,5,0,89,0
1185,Student_1185,78,9,0,73,1
1186,Student_1186,88,2,1,57,0
1187,Student_1187,91,7,0,69,1
1188,Student_1188,71,7,0,54,0
1189,Student_1189,43,1,0,66,0
1190,Student_1190,69,5,0,90,0
1191,Student_1191,76,6,0,73,1
1192,Student_1192,62,1,0,91,0
1193,Student_1193,78,9,0,96,1
1194,Student_1194,84,1,0,77,0
1195,Student_1195,54,9,0,72,0
1196,Student_1196,82,0,0,63,0
1197,Student_1197,68,7,1,54,0
1198,Student_1198,75,0,0,99,0
1199,Student_1199,52,8,0,69,0
1200,Student_1200,71,5,1,94,0
